Date,Cases,Deaths
2021-07-13,2376643,38211
2022-06-25,6430582,75574
2022-02-25,5800599,69790
2021-07-14,2383068,38282
2022-06-26,6430582,75574
2022-02-26,5803337,69790
2021-07-15,2390079,38327
2022-06-27,6447100,75663
2022-02-27,5803337,69790
2021-07-16,2406809,38388
2022-06-28,6447100,75671
2022-02-28,5806510,70084
2021-07-17,2406809,38395
2022-06-29,6469540,75738
2021-07-18,2406809,38395
2021-07-19,2406809,38395
2021-12-30,4090000,62480
2021-12-31,4166392,62504
2022-07-20,6691964,76922
2022-03-20,5834058,72704
2022-07-21,6703842,77022
2022-03-21,5835800,72767
2021-08-10,2782060,40167
2022-07-22,6716112,77098
2022-03-22,5836493,72828
2021-08-11,2806813,40171
2022-07-23,6716112,77098
2022-03-23,5838503,72880
2021-08-12,2827469,40528
2022-07-24,6716112,77098
2022-03-24,5840070,72946
2021-08-13,2877214,40766
2022-07-25,6743157,77273
2022-03-25,5841469,73027
2021-08-14,2877393,40766
2022-07-26,6754722,77286
2022-03-26,5841469,73027
2021-08-15,2877393,40766
2022-07-27,6765875,77377
2022-03-27,5841469,73027
2021-08-16,2933429,41123
2022-07-28,6778523,77377
2022-03-28,5844892,73134
2021-08-17,2955098,41130
2022-07-29,6789498,77565
2022-03-29,5846240,73136
2021-08-18,2978433,41138
2021-08-19,2994019,41937
2020-10-20,760381,16104
2020-10-21,762525,16209
2020-10-22,768083,16266
2020-10-23,771772,16339
2020-10-24,776243,16416
2020-10-25,778628,16428
2020-10-26,782005,16448
2022-08-20,6954834,79017
2020-10-27,786303,16504
2022-08-21,6954834,79017
2020-10-28,790418,16570
2022-08-22,6971052,79236
2020-10-29,794616,16647
2022-08-23,6977905,79243
2022-08-24,6984510,79366
2022-08-25,6991770,79450
2022-08-26,6998561,79573
2022-08-27,6998561,79573
2022-08-28,6998561,79573
2022-08-29,7012997,79782
2021-10-30,3648943,59670
2021-10-31,3648943,59670
2022-09-20,7098315,80954
2022-09-21,7101223,81007
